key,pt,en_suggestion,keep_en,context,source_file,notes
"app.ui.a_carregar_13","A CARREGAR...","LOADING...","true","JSX text","src/App.jsx",""
"backoffice.label_100","Objectivos","Goals","true","object property: label","src/components/Backoffice.jsx",""
"backoffice.label_101","Utilizadores","Users","true","object property: label","src/components/Backoffice.jsx",""
"backoffice.label_102","Chat","Chat","true","object property: label","src/components/Backoffice.jsx",""
"backoffice.label_98","Performance","Performance","true","object property: label","src/components/Backoffice.jsx",""
"backoffice.label_99","Competições","Competições","true","object property: label","src/components/Backoffice.jsx",""
"backoffice.message.sem_competicoes_197","Sem competições.","In the competições.","true","message attribute","src/components/Backoffice.jsx",""
"backoffice.message.sem_mensagens_259","Sem mensagens.","In the messages.","true","message attribute","src/components/Backoffice.jsx",""
"backoffice.message.sem_objectivos_219","Sem objectivos.","In the goals.","true","message attribute","src/components/Backoffice.jsx",""
"backoffice.message.sem_registos_166","Sem registos.","In the records.","true","message attribute","src/components/Backoffice.jsx",""
"backoffice.placeholder.filtrar_124","Filtrar...","Filtrar...","true","placeholder attribute","src/components/Backoffice.jsx",""
"backoffice.ui.a_carregar_143","A carregar...","Loading...","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.a_mostrar_ultimas_265","A mostrar últimas","Showing últimas","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.a_mostrar_ultimos_172","A mostrar últimos","Showing últimos","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.acesso_restrito_27","Acesso restrito.","Acesso restrito.","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.actualizado_151","ACTUALIZADO","CURRENTIZADO","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.admin_120","ADMIN","ADMIN","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.backoffice_121","Backoffice","Backoffice","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.competicao_184","COMPETIÇÃO","COMPETIÇÃO","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.criado_por_184","CRIADO POR","CRIADO BY","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.data_151","DATA","DATA","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.data_fim_206","DATA FIM","DATA FIM","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.data_inicio_206","DATA INÍCIO","DATA INÍCIO","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.editado_248","EDITADO","EDITADO","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.email_228","EMAIL","EMAIL","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.export_excel_127","↓ Export Excel","↓ Export Excel","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.inicio_206","INÍCIO","INÍCIO","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.kpi_206","KPI","KPI","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.metrica_151","MÉTRICA","MÉTRICA","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.notas_151","NOTAS","NOTES","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.objectivo_206","OBJECTIVO","GOAL","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.posicao_184","POSIÇÃO","POSIÇÃO","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.refresh_126","↻ Refresh","↻ Refresh","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.registos_172","registos","entries","false","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.score_184","SCORE","SCORE","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.sem_utilizadores_239","Sem utilizadores.","In the Users.","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.ultima_actividade_228","ÚLTIMA ACTIVIDADE","ÚLTIMA ACTIVIDADE","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.utilizador_151","UTILIZADOR","USER","true","JSX text","src/components/Backoffice.jsx",""
"backoffice.ui.valor_151","VALOR","VALOR","true","JSX text","src/components/Backoffice.jsx",""
"calendar.base_655","BASE","BASE","true","object property: base","src/components/Calendar.jsx",""
"calendar.build_654","BUILD","BUILD","true","object property: build","src/components/Calendar.jsx",""
"calendar.category_40","Competição","Competição","true","object property: category","src/components/Calendar.jsx",""
"calendar.label_26","Médio","Médio","true","object property: label","src/components/Calendar.jsx",""
"calendar.label_27","Bem","Good","true","object property: label","src/components/Calendar.jsx",""
"calendar.label_31","Energia","Energia","true","object property: label","src/components/Calendar.jsx",""
"calendar.label_32","Sono","Sono","true","object property: label","src/components/Calendar.jsx",""
"calendar.label_33","Cansaço","Cansaço","true","object property: label","src/components/Calendar.jsx",""
"calendar.label_34","Dores / Lesões","Dores / Lesões","true","object property: label","src/components/Calendar.jsx",""
